OBJECTID *,Shape *,Name,Elevation,Longitude,Latitude,OBJECTID *,globalid,tree_speci,tree_heigh,dead_alive,large_tree,rtk_id,tree_id_sp
90,Point,91,1761.298,37.357937,0.212049,91,7d1e1e71-407c-4be0-83dc-5dfc40e9d6d7,Vachellia_drepanolobium,4.4,Alive,433,91,8d773ed2-b8ca-4410-9ea9-8beab65b631d
91,Point,92,1759.216,37.357859,0.212097,92,534d9edb-c0c0-47c9-a5d9-f5c6faeaa1c4,Vachellia_drepanolobium,2.9,Alive,434,92,f6988657-c483-4418-a809-01b9d349240a
92,Point,93,1759.223,37.357842,0.212079,93,1b5f8871-8e5d-4e8d-97ec-33c6f2406944,Vachellia_drepanolobium,2.8,Alive,435,93,2ab58b10-a716-4492-91a8-b69317b7c59f
93,Point,94,1758.839,37.357796,0.212085,94,fb8858ab-e029-4f12-a01a-764a3c9ef1e3,Vachellia_drepanolobium,2.8,Alive,730,94,1574963d-6537-4317-adb4-7e116fade2f8
94,Point,95,1758.676,37.357746,0.212095,95,09d73eb0-2afd-40e1-9811-1aeb4ce84761,Vachellia_drepanolobium,2.5,Alive,731,95,26d03ec1-c935-4915-8c39-c9db09d9b457
95,Point,96,1758.66,37.357695,0.212171,96,9481be72-173b-4dc2-8ad7-852fe5a4631c,Vachellia_drepanolobium,4.3,Alive,436,96,ba7677ec-eb14-4303-b846-c0c7a3f5adab
96,Point,97,1758.635,37.357717,0.21219,97,4536d2a2-a8e4-4e28-a3ed-a08270894d2d,Vachellia_drepanolobium,4.2,Alive,437,97,363ebad3-db90-4f78-ab0b-74c349104238
97,Point,98,1758.475,37.357707,0.21221,98,e9355f36-dc60-4f55-9aea-4b2831b5ff79,Vachellia_drepanolobium,3.6,Alive,438,98,21075135-ead8-4452-bcb0-7a18cc696e5d
98,Point,99,1758.602,37.357766,0.212202,99,2eb27b07-cdd8-4e1b-a1f6-11e0144a358d,Vachellia_drepanolobium,4.2,Alive,439,99,1db90d33-5a85-4e3e-8ede-198a459bd90a
99,Point,100,1758.478,37.35779,0.212236,100,2018a5cd-e060-43e2-a365-cd7ff39042c5,Vachellia_drepanolobium,5,Alive,440,100,d427b830-5c2b-49fa-aabb-704a2fcfdac2
100,Point,101,1758.478,37.357737,0.212233,101,b778c256-2161-412b-b87c-682001abe270,Vachellia_drepanolobium,4.7,Alive,441,101,dcbf043f-a8e3-4389-90b1-6a11d2135547
101,Point,102,1758.197,37.357678,0.212292,102,792d8786-6446-4193-b407-57304e8e05a4,Vachellia_drepanolobium,5.2,Alive,442,102,95464f78-b191-447c-9656-7f6d04b9fcf0
102,Point,103,1758.288,37.357681,0.212252,103,9ae3be78-2249-46a0-a783-ce1f83534df6,Vachellia_drepanolobium,4.2,Alive,444,103,b50c1ade-cb38-484c-8655-1ad496fc2d82
103,Point,104,1758.366,37.357622,0.212219,104,0d938db2-3c5f-4327-97ba-d316894e7d88,Vachellia_drepanolobium,5.3,Alive,445,104,cba7e8dc-5ff1-46d7-825f-d7941da3f1b2
104,Point,105,1758.012,37.357611,0.212295,105,96c4cbcd-4224-48aa-8b80-43fc58d5be79,Vachellia_drepanolobium,2.8,Alive,443,105,e36144c9-6a8a-42d3-b761-59f6cd4c21fd
105,Point,106,1758.443,37.357669,0.212204,106,0cf7dfe3-0440-4f8d-810b-a5cc24ac2cef,Vachellia_drepanolobium,5.3,Alive,446,106,50cc92b8-c493-42eb-9463-54026885b7f9
106,Point,107,1758.459,37.357619,0.212166,107,b590e1db-b0b8-47cd-9440-7e16bd94bbcc,Vachellia_drepanolobium,4.3,Alive,447,107,05eabb9c-81cb-4fbb-aef1-c4e3511d3636
107,Point,108,1758.298,37.357665,0.212134,108,a4105ded-1c4a-436d-b570-0dfd4bbc70fd,Vachellia_drepanolobium,2.9,Alive,448,108,219b92fd-fbce-4125-aa34-07048bcec19d
108,Point,109,1758.451,37.357678,0.212142,109,25769ba3-fba5-4351-bd03-431565bb2dd5,Vachellia_drepanolobium,2.6,Alive,449,109,63d96e5f-192e-4d50-b2d3-06315ce0ce65
109,Point,110,1758.688,37.357671,0.21213,110,da426e7e-7914-4970-89f4-8df8c6e329d5,Vachellia_drepanolobium,2.6,Alive,732,110,a7c18cbe-272d-48f7-84ed-5d12cbf4056e
110,Point,111,1758.544,37.357636,0.212084,111,73392ba5-5bef-4f26-932b-60b73a61cdba,Vachellia_drepanolobium,2.8,Alive,450,111,eb7298d0-6413-4764-9b40-e70cfaaf5692
111,Point,112,1758.632,37.357646,0.212076,112,1333eb96-3623-4bce-a8d1-12a80d1dd5ce,Vachellia_drepanolobium,4.7,Alive,451,112,7b98be3d-5dc8-42a3-b867-1e5b7b7aa1ad
112,Point,54,1759.361,37.35793,0.212048,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>
